Series,Issue,Full Title,Variant Description,Publisher,Release Date,Format,Added Date,Creators
Age of X-Man: X-Tremists,5,,,Marvel Comics,26-Jun-19,Comic,4-Aug-19,Leah Williams | Georges Jeanty
"Agents of S.H.I.E.L.D., Vol. 1",1A,"The Coulson Protocols, Episode One: Lola",Regular Mike Norton Cover,Marvel Comics,13-Jan-16,Comic,9-Apr-16,Marc Guggenheim | German Peralta
"Agents of S.H.I.E.L.D., Vol. 1",2A,"The Coulson Protocols, Episode Two: Dangerous Liasons",Regular Mike Norton Cover,Marvel Comics,10-Feb-16,Comic,9-Apr-16,Marc Guggenheim | German Peralta
"Agents of S.H.I.E.L.D., Vol. 1",3A,"Standoff - The Coulson Protocols, Episode Three: Free Fall",Regular Mike Norton Cover,Marvel Comics,9-Mar-16,Comic,9-Apr-16,Marc Guggenheim | German Peralta
Air Raiders,1,Sins Of The Father,,Marvel Comics,Nov-87,Comic,23-Feb-14,Howard Mackie | Kelley Jones | James Sinclair
Alf,34,That Old Melmac Magic!,,Marvel Comics,Oct-90,Comic,23-Feb-14,Michael Gallagher | David Manak | Michael James
Alias,1A,"Alias Investigations, Part 1",,Marvel Comics,Nov-01,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,2,,,Marvel Comics,Dec-01,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,3,,,Marvel Comics,Jan-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,4,,,Marvel Comics,Feb-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,5,,,Marvel Comics,Mar-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,6,B Level,,Marvel Comics,Feb-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,7,,,Marvel Comics,May-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos | Bill Sienkiewicz
Alias,8,,,Marvel Comics,May-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos | Bill Sienkiewicz
Alias,9,,,Marvel Comics,Jul-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,10,,,Marvel Comics,Jul-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,11,"Rebecca, Please Come Home, Part 1",,Marvel Comics,Aug-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,12,"Rebecca, Please Come Home, Part 2",,Marvel Comics,Sep-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos | Mark Bagley
Alias,13,"Rebecca, Please Come Home, Part 3",,Marvel Comics,Oct-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos | David Mack
Alias,14,"Rebecca, Please Come Home, Part 4",,Marvel Comics,Nov-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,15,,,Marvel Comics,Dec-02,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alias,16,"The Underneath, Part 1",,Marvel Comics,Jan-03,Comic,23-Feb-14,Brian Michael Bendis | Michael Gaydos
Alien (Marvel Comics),1A,,InHyuk Lee Regular Cover,Marvel Comics,24-Mar-21,Comic,2-Jun-21,Phillip Kennedy Johnson | Salvador Larroca
Alien (Marvel Comics),2A,,Inhyuk Lee Cover,Marvel Comics,21-Apr-21,Comic,2-Jun-21,Phillip Kennedy Johnson | Salvador Larroca
Alien (Marvel Comics),3A,,Regular Inhyuk Lee Cover,Marvel Comics,26-May-21,Comic,1-Jun-21,Phillip Kennedy Johnson | Salvador Larroca
Alien (Marvel Comics),4A,,Regular Inhyuk Lee Cover,Marvel Comics,16-Jun-21,Comic,18-Jun-21,Phillip Kennedy Johnson | Salvador Larroca
Alien (Marvel Comics),5B,,Variant Valerio Giangiordano Cover,Marvel Comics,21-Jul-21,Comic,22-Jul-21,Phillip Kennedy Johnson | Salvador Larroca
Alien (Marvel Comics),6A,,Regular Inhyuk Lee Cover,Marvel Comics,25-Aug-21,Comic,12-Oct-21,Phillip Kennedy Johnson | Salvador Larroca
Alien (Marvel Comics),7B,,Variant Giuseppe Camuncoli Cover,Marvel Comics,22-Sep-21,Comic,24-Sep-21,Phillip Kennedy Johnson | Salvador Larroca
Alien (Marvel Comics),8B,,Variant Ivan Shavrin Cover,Marvel Comics,10-Nov-21,Comic,12-Nov-21,Phillip Kennedy Johnson | Salvador Larroca
Alien Nation: The Spartans,1C,,Blue,Malibu Comics,1990,Comic,23-Feb-14,
Alien vs. Predator: Fire and Stone,1A,,E. M. Gist Standard Cover,Dark Horse Comics,8-Oct-14,Comic,27-Jul-15,Ariel Olivetti
Alien vs. Predator: Fire and Stone,2,,,Dark Horse Comics,5-Nov-14,Comic,27-Jul-15,Ariel Olivetti
Alien vs. Predator: Fire and Stone,3,,,Dark Horse Comics,3-Dec-14,Comic,27-Jul-15,Christopher Sebela | Ariel Olivetti
Alien vs. Predator: Fire and Stone,4,,,Dark Horse Comics,14-Jan-15,Comic,27-Jul-15,Ariel Olivetti
Alien vs. Predator: Life And Death,1B,,Var Teng Cover,Dark Horse Comics,28-Dec-16,Comic,15-Jul-18,Brian Albert Thies
Alien vs. Predator: Life And Death,2,Life and Death - Part Fourteen,,Dark Horse Comics,25-Jan-17,Comic,15-Jul-18,Brian Albert Thies
Alien vs. Predator: Life And Death,3,"Life and Death - Life and Death, Blood, Acid, and Tears",,Dark Horse Comics,22-Feb-17,Comic,15-Jul-18,Brian Albert Thies
Alien vs. Predator: Life And Death,4,Life and Death - Part Sixteen,,Dark Horse Comics,29-Mar-17,Comic,15-Jul-18,Brian Albert Thies
Alien: The Original Screenplay,1A,,Regular Guilherme Balbi Cover,Dark Horse Comics,5-Aug-20,Comic,19-Dec-20,Dan O'Bannon | Cristiano Seixas | Guilherme Balbi
Alien: The Original Screenplay,2A,,Regular Guilherme Balbi Cover,Dark Horse Comics,2-Sep-20,Comic,19-Dec-20,Guilherme Balbi
Alien: The Original Screenplay,3B,,Variant Walter Simonson & Dave Stewart Cover,Dark Horse Comics,7-Oct-20,Comic,19-Dec-20,Guilherme Balbi
Alien: The Original Screenplay,4B,,Variant Walter Simonson & Dave Stewart Cover,Dark Horse Comics,4-Nov-20,Comic,19-Dec-20,Guilherme Balbi
Alien: The Original Screenplay,5A,,Regular Guilherme Balbi Cover,Dark Horse Comics,2-Dec-20,Comic,19-Dec-20,Guilherme Balbi
Aliens / Predator: The Deadliest of the Species,1A,Time Of The Preacher,,Dark Horse Comics,Jul-93,Comic,23-Feb-14,Chris Claremont | Jackson Guice | John Beatty
Aliens / Predator: The Deadliest of the Species,2,The Hunt,,Dark Horse Comics,Sep-93,Comic,23-Feb-14,Chris Claremont | Jackson Guice | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,3,Virtually Real,,Dark Horse Comics,Oct-93,Comic,23-Feb-14,Chris Claremont | Jackson Guice | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,4,The Great Escape,,Dark Horse Comics,Jan-94,Comic,23-Feb-14,Chris Claremont | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,5,Roadtrip,,Dark Horse Comics,Mar-94,Comic,23-Feb-14,Chris Claremont | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,6,Rude Awakenings,,Dark Horse Comics,May-94,Comic,23-Feb-14,Chris Claremont | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,8,Sacrifice,,Dark Horse Comics,Oct-94,Comic,23-Feb-14,Chris Claremont | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,9,,,Dark Horse Comics,Dec-94,Comic,23-Feb-14,Chris Claremont | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,10,Queen's Gambit,,Dark Horse Comics,Feb-95,Comic,23-Feb-14,Chris Claremont | Eduardo Barreto
Aliens / Predator: The Deadliest of the Species,11,Toyland,,Dark Horse Comics,May-95,Comic,23-Feb-14,Chris Claremont | Eduardo Barreto
Aliens vs Predator: Duel,1,Book One,First Printing,Dark Horse Comics,Mar-95,Comic,23-Feb-14,Randy Stradley | Javier Saltares | Jimmy Palmiotti
Aliens vs Predator: Duel,2,Book Two,First Printing,Dark Horse Comics,Apr-95,Comic,23-Feb-14,Randy Stradley | Javier Saltares | Jimmy Palmiotti
Aliens vs Predator: War,0,Book 0,,Dark Horse Comics,May-95,Comic,23-Feb-14,Randy Stradley | Chris Warner
Aliens vs. Predator,0,,,Dark Horse Comics,Jul-90,Comic,23-Feb-14,Randy Stradley | Phil Norwood | Karl Story
Aliens vs. Predator,1A,,,Dark Horse Comics,Jun-90,Comic,23-Feb-14,Randy Stradley | Phil Norwood | Brian Stelfreeze
Aliens vs. Predator,2,,,Dark Horse Comics,Aug-90,Comic,23-Feb-14,Randy Stradley | Phil Norwood | Brian Stelfreeze
Aliens vs. Predator,3A,,,Dark Horse Comics,1990,Comic,23-Feb-14,Randy Stradley | Phil Norwood | Robert Campanella
Aliens vs. Predator,4,,,Dark Horse Comics,Dec-90,Comic,23-Feb-14,Randy Stradley | Chris Warner | Robert Campanella
Aliens vs. Predator: Thicker Than Blood,1,,,Dark Horse Comics,11-Dec-19,Comic,12-Jan-21,Doug Wheatley
Aliens vs. Predator: Thicker Than Blood,2,,,Dark Horse Comics,15-Jan-20,Comic,12-Jan-21,Doug Wheatley
"Aliens, Vol. 1",1D,,4th Printing,Dark Horse Comics,May-88,Comic,23-Feb-14,Mark Verheiden | Mark A. Nelson
"Aliens, Vol. 1",2C,,3rd printing,Dark Horse Comics,Sep-88,Comic,23-Feb-14,Mark A. Nelson
"Aliens, Vol. 1",3B,,2nd Printing,Dark Horse Comics,Jan-89,Comic,23-Feb-14,Mark Verheiden | Mark A. Nelson
"Aliens, Vol. 1",4,,,Dark Horse Comics,Mar-89,Comic,23-Feb-14,Mark A. Nelson
"Aliens, Vol. 1",5A,,,Dark Horse Comics,Jun-89,Comic,23-Feb-14,Mark Verheiden | Mark A. Nelson
"Aliens, Vol. 1",6,,,Dark Horse Comics,Jul-89,Comic,23-Feb-14,Mark Verheiden | Ron Randall | Mark A. Nelson
"Aliens, Vol. 2",1,,Regular Cover,Dark Horse Comics,Aug-89,Comic,23-Feb-14,Mark Verheiden | Denis Beauvais
"Aliens, Vol. 2",2,,,Dark Horse Comics,Dec-89,Comic,23-Feb-14,Mark Verheiden | Denis Beauvais
"Aliens, Vol. 2",3,,,Dark Horse Comics,Mar-90,Comic,23-Feb-14,Mark Verheiden | Denis Beauvais
"Aliens, Vol. 2",4,,,Dark Horse Comics,May-90,Comic,23-Feb-14,Mark Verheiden | Denis Beauvais
Aliens: Aftermath,1A,,Regular Phil Noto Cover,Marvel Comics,14-Jul-21,Comic,16-Jul-21,Benjamin Percy | David Wachter
Aliens: Berserker,1,,First Printing,Dark Horse Comics,Jan-95,Comic,23-Feb-14,John Wagner | Paul Mendoza | Andy Mushynsky
Aliens: Dead Orbit,1A,"Aliens: Dead Orbit, Part 1",James Stokoe Regular Cover,Dark Horse Comics,26-Apr-17,Comic,12-Jul-18,James Stokoe
Aliens: Dead Orbit,2,"Aliens: Dead Orbit, Part 2",James Stokoe Regular Cover,Dark Horse Comics,31-May-17,Comic,12-Jul-18,James Stokoe
Aliens: Dead Orbit,3,"Aliens: Dead Orbit, Part 3",James Stokoe Regular Cover,Dark Horse Comics,19-Jul-17,Comic,12-Jul-18,James Stokoe
Aliens: Dead Orbit,4,"Aliens: Dead Orbit, Part 4",James Stokoe Regular Cover,Dark Horse Comics,13-Dec-17,Comic,12-Jul-18,James Stokoe
Aliens: Defiance,1A,Episode One: Derelict,Massimo Carnevale Regular Cover,Dark Horse Comics,27-Apr-16,Comic,11-Jan-17,Tristan Jones
Aliens: Defiance,2,Episode Two: Kinetic,Massimo Carnevale Regular Cover,Dark Horse Comics,25-May-16,Comic,11-Jan-17,Brian Wood | Tristan Jones
Aliens: Defiance,3,Episode Three: Mutiny,Massimo Carnevale Regular Cover,Dark Horse Comics,17-Aug-16,Comic,11-Jan-17,Riccardo Burchielli
Aliens: Defiance,4,Episode Four: Casualties,Massimo Carnevale Regular Cover,Dark Horse Comics,31-Aug-16,Comic,11-Jan-17,Tony Brescini
Aliens: Defiance,5,Episode Five: Siege,Massimo Carnevale Regular Cover,Dark Horse Comics,28-Sep-16,Comic,11-Jan-17,Brian Wood | Tristan Jones
Aliens: Defiance,6,Episode Six: Incubation,Massimo Carnevale Regular Cover,Dark Horse Comics,26-Oct-16,Comic,11-Jan-17,Tristan Jones
Aliens: Defiance,7,Episode Seven: Excision,Stephanie Hans Regular Cover,Dark Horse Comics,7-Dec-16,Comic,11-Jan-17,Stephen Thompson
Aliens: Defiance,8,Episode Eight: Environmental,Massimo Carnevale Regular Cover,Dark Horse Comics,4-Jan-17,Comic,11-Jan-17,Tony Brescini
Aliens: Defiance,9,Episode Nine: Invasion,Stephanie Hans Regular Cover,Dark Horse Comics,25-Jan-17,Comic,25-Feb-17,Tony Brescini
Aliens: Defiance,10,Episode Ten,Stephanie Hans Regular Cover,Dark Horse Comics,29-Mar-17,Comic,15-Jul-18,Stephen Thompson
Aliens: Defiance,11,Episode Eleven,Stephanie Hans Regular Cover,Dark Horse Comics,29-Mar-17,Comic,15-Jul-18,Eduardo Francisco
Aliens: Dust To Dust,1A,,Regular Gabriel Hardman Cover,Dark Horse Comics,25-Apr-18,Comic,12-Jul-18,Gabriel Hardman
Aliens: Dust To Dust,2A,,Regular Gabriel Hardman Cover,Dark Horse Comics,11-Jul-18,Comic,15-Jul-18,Gabriel Hardman
Aliens: Dust To Dust,3A,,Gabriel Hardman & Rain Beredo Cover,Dark Horse Comics,24-Oct-18,Comic,27-Aug-19,Gabriel Hardman
Aliens: Dust To Dust,4A,,Gabriel Hardman & Rain Beredo Cover,Dark Horse Comics,9-Jan-19,Comic,27-Aug-19,Gabriel Hardman
Aliens: Earth Angel,1,,First Printing,Dark Horse Comics,Aug-94,Comic,23-Feb-14,John Byrne
Aliens: Earth War,1A,Earth War,Regular Cover,Dark Horse Comics,Jun-90,Comic,23-Feb-14,Mark Verheiden | Sam Kieth
Aliens: Earth War,3,Earth War,First Edition,Dark Horse Comics,Sep-90,Comic,23-Feb-14,Mark Verheiden | Sam Kieth
Aliens: Earth War,4,Earth War,First Edition,Dark Horse Comics,Oct-90,Comic,23-Feb-14,Mark Verheiden | Sam Kieth
Aliens: Fire and Stone,1B,,Variant Cover,Dark Horse Comics,24-Sep-14,Comic,18-Oct-14,Chris Roberson | Patric Reynolds
Aliens: Fire and Stone,2,,,Dark Horse Comics,29-Oct-14,Comic,27-Jul-15,Patric Reynolds
Aliens: Fire and Stone,3,,,Dark Horse Comics,26-Nov-14,Comic,27-Jul-15,Chris Roberson | Patric Reynolds
Aliens: Fire and Stone,4,,,Dark Horse Comics,24-Dec-14,Comic,27-Jul-15,Patric Reynolds
Aliens: Genocide,1,Genocide,,Dark Horse Comics,Nov-91,Comic,23-Feb-14,John Arcudi | Mike Richardson | Damon Willis
Aliens: Hive,1,,,Dark Horse Comics,Feb-92,Comic,23-Feb-14,Jerry Prosser | Kelley Jones
Aliens: Hive,2,,,Dark Horse Comics,Mar-92,Comic,23-Feb-14,Jerry Prosser | Kelley Jones
Aliens: Hive,3,,,Dark Horse Comics,Apr-92,Comic,23-Feb-14,Jerry Prosser | Kelley Jones
Aliens: Hive,4,,,Dark Horse Comics,May-92,Comic,23-Feb-14,Jerry Prosser | Kelley Jones
Aliens: Life And Death,1B,,Sachin Teng Variant Cover,Dark Horse Comics,21-Sep-16,Comic,15-Jul-18,Moritat
Aliens: Life And Death,2,Life and Death - Part Ten,,Dark Horse Comics,19-Oct-16,Comic,15-Jul-18,Moritat
Aliens: Life And Death,3,Life and Death - Part Eleven,,Dark Horse Comics,16-Nov-16,Comic,15-Jul-18,Moritat
Aliens: Life And Death,4,,,Dark Horse Comics,21-Dec-16,Comic,15-Jul-18,Moritat
Aliens: Newt's Tale,1,Newt's Tale,First Printing,Dark Horse Comics,Jun-92,Squarebound,23-Feb-14,Mike Richardson | Jim Somerville | Brian Garvey
Aliens: Rescue,1B,,,Dark Horse Comics,24-Jul-19,Comic,22-Dec-19,Brian Wood | Kieran Mckeown | JL Straw
Aliens: Rescue,2B,,Mack Chater Cover,Dark Horse Comics,21-Aug-19,Comic,22-Dec-19,Brian Wood | Kieran Mckeown | JL Straw
Aliens: Rescue,3A,,Roberto De La Torre Cover,Dark Horse Comics,25-Sep-19,Comic,22-Dec-19,Brian Wood | Kieran Mckeown | JL Straw
Aliens: Rescue,4B,Episode Four: Deniability,Variant Mack Chater Cover,Dark Horse Comics,23-Oct-19,Comic,22-Dec-19,Brian Wood | Kieran Mckeown | JL Straw
Aliens: Resistance,1A,,Roberto De La Torre Cover,Dark Horse Comics,23-Jan-19,Comic,4-May-19,Brian Wood | Robert Carey
Aliens: Resistance,2A,,Regular Roberto De La Torre Cover,Dark Horse Comics,27-Feb-19,Comic,27-Aug-19,Brian Wood | Robert Carey
Aliens: Resistance,3A,Abandoned,Regular Tristian Jones Cover,Dark Horse Comics,10-Apr-19,Comic,27-Aug-19,Brian Wood | Robert Carey
Aliens: Resistance,4B,,Variant Tristan Jones Cover,Dark Horse Comics,8-May-19,Comic,27-Aug-19,Brian Wood | Robert Carey
All New Hawkeye,1A,"Wunderkammer, Part One",Ramón K. Pérez Regular Cover,Marvel Comics,4-Mar-15,Comic,8-Aug-15,Jeff Lemire | Ramón K. Pérez
"All Star Batman & Robin, The Boy Wonder",1A,Episode One,Batman Cover,DC Comics,Aug-05,Comic,23-Feb-14,Frank Miller | Brandon Montclare | Jim Lee
"All Star Batman & Robin, The Boy Wonder",2A,Episode Two,Jim Lee Cover,DC Comics,Nov-05,Comic,23-Feb-14,Frank Miller | Jim Lee | Scott Williams
"All Star Batman & Robin, The Boy Wonder",3A,Episode Three,Jim Lee Cover,DC Comics,Oct-05,Comic,23-Feb-14,Frank Miller | Jim Lee | Scott Williams
"All Star Batman & Robin, The Boy Wonder",4A,Episode Four,Jim Lee Cover,DC Comics,Jan-06,Comic,23-Feb-14,Frank Miller | Brandon Montclare | Jim Lee
"All Star Batman & Robin, The Boy Wonder",7A,Episode Seven,Jim Lee cover,DC Comics,Sep-07,Comic,23-Feb-14,Frank Miller | Jim Lee | Scott Williams
"All Star Batman & Robin, The Boy Wonder",10A,Episode Ten,Jim Lee Cover,DC Comics,Jun-08,Comic,23-Feb-14,Frank Miller | Jim Lee | Scott Williams
All Star Superman,1A,...Faster...,Frank Quitely Cover,DC Comics,Nov-05,Comic,23-Feb-14,Grant Morrison | Frank Quitely | Jamie Grant
All Star Superman,3,"Sweet Dreams, Superwoman...",,DC Comics,Mar-06,Comic,23-Feb-14,Grant Morrison | Frank Quitely | Jamie Grant
All-New Ghost Rider,1A,"Engines of Vengeance, Part 1",Tradd Moore Regular Cover,Marvel Comics,26-Mar-14,Comic,10-Apr-14,Felipe Smith | Tradd Moore
All-New Ghost Rider,2A,"Engines of Vengeance, Part 2",Tradd Moore Regular Cover,Marvel Comics,9-Apr-14,Comic,21-Apr-14,Felipe Smith | Tradd Moore
All-New Ghost Rider,3C,,,Marvel Comics,14-May-14,Comic,16-Aug-14,
All-New Ghost Rider,4A,"Engines of Vengeance, Part 4",Tradd Moore Regular Cover,Marvel Comics,11-Jun-14,Comic,20-Jul-14,Felipe Smith | Tradd Moore
All-New Ghost Rider,6,Legend,,Marvel Comics,20-Aug-14,Comic,1-Sep-14,Felipe Smith | Damion Scott | Robert Campanella
All-New Ghost Rider,7,"Legend, Part 2",,Marvel Comics,24-Sep-14,Comic,18-Oct-14,Felipe Smith | Damion Scott | Robert Campanella
All-New Ghost Rider,8A,"Legend, Part 3",Damion Scott Regular Cover,Marvel Comics,8-Oct-14,Comic,8-Aug-15,Felipe Smith | Damion Scott | Cory Hamscher
All-New Ghost Rider,9,"Legend, Part 4",,Marvel Comics,26-Nov-14,Comic,8-Aug-15,Felipe Smith | Damion Scott | Cory Hamscher
All-New Ghost Rider,10,"Legend, Part 5",,Marvel Comics,14-Jan-15,Comic,8-Aug-15,Felipe Smith | Damion Scott | Cory Hamscher
All-New Ghost Rider,11,,,Marvel Comics,11-Feb-15,Comic,8-Aug-15,Felipe Smith
All-New Ghost Rider,12,,,Marvel Comics,25-Mar-15,Comic,8-Aug-15,Felipe Smith | Kris Anka
All-New Guardians of the Galaxy,1A,Smash & Grab,Regular Aaron Kuder Cover,Marvel Comics,3-May-17,Comic,5-Nov-17,Gerry Duggan | Aaron Kuder
All-New Guardians of the Galaxy,2A,Been Caught Stealing,Regular Aaron Kuder Cover,Marvel Comics,24-May-17,Comic,5-Nov-17,Gerry Duggan | Aaron Kuder
All-New Guardians of the Galaxy,3A,Includere,Regular Aaron Kuder Cover,Marvel Comics,7-Jun-17,Comic,5-Nov-17,Gerry Duggan | Frazer Irving
All-New Guardians of the Galaxy,4A,The Trees,Regular Aaron Kuder Cover,Marvel Comics,21-Jun-17,Comic,5-Nov-17,Gerry Duggan | Aaron Kuder
All-New Guardians of the Galaxy,5A,Across the Universe,Regular Aaron Kuder Cover,Marvel Comics,5-Jul-17,Comic,5-Nov-17,Gerry Duggan | Chris Samnee
All-New Guardians of the Galaxy,6,Beyond Electric Dreams,,Marvel Comics,19-Jul-17,Comic,5-Nov-17,Gerry Duggan | Aaron Kuder
All-New Guardians of the Galaxy,7A,The Horns of Doom,,Marvel Comics,2-Aug-17,Comic,5-Nov-17,Gerry Duggan | Greg Smallwood
All-New Guardians of the Galaxy,8,Robbing & Stealth,,Marvel Comics,16-Aug-17,Comic,5-Jan-18,Gerry Duggan | Marcus To
All-New Guardians of the Galaxy,9A,Shattered,Regular Aaron Kuder Cover,Marvel Comics,6-Sep-17,Comic,22-Feb-18,Gerry Duggan | Mike Hawthorne | Terry Pallot
All-New Guardians of the Galaxy,10,The Lamb Lies Down On Broadway,,Marvel Comics,20-Sep-17,Comic,22-Feb-18,Gerry Duggan | Aaron Kuder
All-New Guardians of the Galaxy,11A,Highway Patrolman,Regular Francesco Mattina Cover,Marvel Comics,4-Oct-17,Comic,22-Feb-18,Gerry Duggan | Roland Boschi
All-New Guardians of the Galaxy,12,"We Said Hello, Goodbye",,Marvel Comics,18-Oct-17,Comic,22-Feb-18,Gerry Duggan | Rod Reis
All-New Guardians of the Galaxy Annual,1A,Secret Empire ,Regular David Nakayama Cover,Marvel Comics,28-Jun-17,Comic,5-Nov-17,Chad Bowers | Chris Sims | Danilo Beyruth
All-New Inhumans,1A,,Stefano Caselli Regular Cover,Marvel Comics,2-Dec-15,Comic,21-Feb-16,James Asmus | Charles Soule | Stefano Caselli
All-New Inhumans,2A,,Jamal Campbell Regular Cover,Marvel Comics,16-Dec-15,Comic,21-Feb-16,James Asmus | Charles Soule | Stefano Caselli
All-New Inhumans,3A,,Stefano Caselli Regular Cover,Marvel Comics,27-Jan-16,Comic,19-Mar-16,James Asmus | Charles Soule | Stefano Caselli
All-New Inhumans,4,,,Marvel Comics,24-Feb-16,Comic,19-Mar-16,James Asmus | Charles Soule | Stefano Caselli
All-New Inhumans,5A,,Jamal Campbell Regular Cover,Marvel Comics,16-Mar-16,Comic,9-Apr-16,James Asmus | André Lima Araújo
All-New Inhumans,6,,,Marvel Comics,13-Apr-16,Comic,3-Jun-16,James Asmus | André Lima Araújo
All-New Inhumans,7,,,Marvel Comics,4-May-16,Comic,3-Jun-16,James Asmus | Stefano Caselli
All-New Inhumans,9,,,Marvel Comics,20-Jul-16,Comic,28-May-17,James Asmus | Stefano Caselli
All-New Inhumans,10,,,Marvel Comics,17-Aug-16,Comic,28-May-17,James Asmus | Stefano Caselli
All-New Inhumans,11,,Stefano Caselli Regular Cover,Marvel Comics,14-Sep-16,Comic,28-May-17,James Asmus | Rhoald Marcellius
All-New Marvel NOW! Point One,1A,Before the Truth Has Its Pants On / Girl On Board / To Tame the Very Gods Themselves / Predator / Garden State of Mind / Short Term Fixes,Regular Salvador Larroca Cover,Marvel Comics,8-Jan-14,Comic,10-Apr-14,Dan Slott | Al Ewing | Nathan Edmondson
All-New Ultimates,1A,Power for Power,David Nakayama Regular Cover,Marvel Comics,9-Apr-14,Comic,21-Apr-14,Michel Fiffe | Amilcar Pinna
All-New Ultimates,2A,,David Nakayama Regular Cover,Marvel Comics,14-May-14,Comic,18-May-14,Michel Fiffe | Amilcar Pinna
All-New Ultimates,3A,,David Nakayama Regular Cover,Marvel Comics,11-Jun-14,Comic,14-Jun-14,Michel Fiffe | Amilcar Pinna
All-New Ultimates,4,,,Marvel Comics,25-Jun-14,Comic,16-Jul-14,Michel Fiffe | Amilcar Pinna
All-New Ultimates,5,,,Marvel Comics,23-Jul-14,Comic,1-Sep-14,Michel Fiffe | Amilcar Pinna
All-New Ultimates,6,,,Marvel Comics,20-Aug-14,Comic,1-Sep-14,Michel Fiffe | Amilcar Pinna
All-New Ultimates,7,,,Marvel Comics,27-Aug-14,Comic,1-Sep-14,Michel Fiffe | Giannis Milonogiannis
All-New Ultimates,8,,,Marvel Comics,10-Sep-14,Comic,23-Jul-15,Michel Fiffe | Giannis Milonogiannis
All-New Ultimates,9,,,Marvel Comics,8-Oct-14,Comic,23-Jul-15,Michel Fiffe | Giannis Milonogiannis
All-New Ultimates,10,"No Gods, No Masters, Part 1",,Marvel Comics,12-Nov-14,Comic,23-Jul-15,Michel Fiffe | Amilcar Pinna
All-New Ultimates,11,"No Gods, No Masters, Part 2",,Marvel Comics,10-Dec-14,Comic,20-Nov-15,Michel Fiffe | Amilcar Pinna | Terry Pallot
All-New Ultimates,12,,,Marvel Comics,14-Jan-15,Comic,20-Nov-15,Michel Fiffe | Amilcar Pinna | Terry Pallot
All-New Wolverine,1A,The Four Sisters,Regular Bengal Cover,Marvel Comics,11-Nov-15,Comic,24-Jan-16,Thomas Taylor | David López | David Navarrot
All-New Wolverine,2A,The Four Sisters,Bengal Regular Cover,Marvel Comics,25-Nov-15,Comic,21-Feb-16,Thomas Taylor | David López
All-New Wolverine,3A,The Four Sisters,Bengal Regular Cover,Marvel Comics,30-Dec-15,Comic,21-Feb-16,Thomas Taylor | David López | David Navarrot
All-New Wolverine,4A,The Four Sisters,Bengal Regular Cover,Marvel Comics,13-Jan-16,Comic,21-Feb-16,Thomas Taylor | David López | David Navarrot
All-New Wolverine,5A,The Four Sisters,Regular Bengal Cover,Marvel Comics,10-Feb-16,Comic,21-Feb-16,Thomas Taylor | David López | David Navarrot
All-New Wolverine,6A,The Four Sisters,Regular Bengal Cover,Marvel Comics,9-Mar-16,Comic,19-Mar-16,Thomas Taylor | David López | David Navarrot
All-New Wolverine,7,Father Lost,,Marvel Comics,27-Apr-16,Comic,3-Jun-16,Thomas Taylor | Marcio Takara
All-New Wolverine,8,The Road to Civil War II,,Marvel Comics,18-May-16,Comic,3-Jun-16,Thomas Taylor | Marcio Takara
All-New Wolverine,9A,Civil War II,Regular Bengal Cover,Marvel Comics,1-Jun-16,Comic,3-Jun-16,Thomas Taylor | Marcio Takara
All-New Wolverine,10,Civil War II,,Marvel Comics,20-Jul-16,Comic,25-Feb-17,Thomas Taylor | Ig Guara-Barros | Victor Olazaba
All-New Wolverine,11A,"Civil War II - Civil War II, Part Two",,Marvel Comics,17-Aug-16,Comic,25-Feb-17,Thomas Taylor | Ig Guara-Barros | Walden Wong
All-New Wolverine,12A,Civil War II,Regular Bengal Cover,Marvel Comics,21-Sep-16,Comic,25-Feb-17,Thomas Taylor | Walden Wong | Ig Guara-Barros
All-New Wolverine,13A,Enemy of the State II,Regular David Lopez Cover,Marvel Comics,5-Oct-16,Comic,25-Feb-17,Thomas Taylor | Nicole Virella | Nik Virella
